torvalds,39821
mojombo,21699
paulirish,21027
addyosmani,19955
JakeWharton,19589
Tj,19266
defunkt,17404
douglascrockford,13016
jeresig,12926
schacon,12308
mbostock,12301
visionmedia,11707
mattt,11594
sindresorhus,10888
mdo,10497
jashkenas,9977
substack,9591
jlord,9472
pjhyett,9329
kennethreitz,9322
dhh,8783
daimajia,8312
mrdoob,8149
wycats,8066
tpope,7982
LeaVerou,7715
yinwang0,7685
ryanb,7620
mitsuhiko,7077
JacksonTian,7012
cloudwu,6921
lifesinger,6839
chrisbanes,6814
Trinea,6811
hakimel,6631
JeffreyWay,6609
fat,6593
ruanyf,6581
fabpot,6483
tekkub,6408
clowwindy,6177
taylorotwell,5970
isaacs,5949
hadley,5796
ry,5717
onevcat,5705
BYVoid,5651
muan,5534
chriscoyier,5438
antirez,5427
tenderlove,5419
charliesome,5404
4148,5351
gaearon,5336
michaelliao,5313
laruence,5292
josevalim,5162
holman,5120
vczh,4971
matz,4892
necolas,4828
romannurik,4828
commonsguy,4827
igrigorik,4668
koush,4646
ibireme,4597
CoderMJLee,4475
yyx990803,4459
sofish,4392
astaxie,4388
nzakas,4353
maxogden,4302
agentzh,4278
android,4096
feross,3967
remy,3946
johnpapa,3916
desandro,3908
zenorocha,3890
mitchellh,3865
vim-scripts,3823
hackedteam,3800
maccman,3780
creationix,3763
getify,3747
PresidentObamaBot,3718
karpathy,3682
benbalter,3665
liaohuqiu,3603
mathiasbynens,3567
soffes,3550
RubyLouvre,3452
stormzhang,3428
csswizardry,3419
chenshuo,3372
wintercn,3346
cloudhead,3345
justjavac,3342
nicklockwood,3336
sebastianbergmann,3313
